-0 all_void
0.1.1.0.0.0.15.11.8.0 eyes
0.1.1.0.0.0.15.11.8.3 politics
-0.1.1.0.0.0.15.11.19 supernaturalism
0.1.1.0.0.0.15.11.19.0 magic
-0.1.1.0.0.0.15.11.30 spiritual_being
-0.1.1.0.0.0.15.11.30.4 fairy
0.1.1.0.0.0.15.11.30.4.0 elf
-0.1.1.0.0.0.15.11.30.6 spirit
-0.1.1.0.0.0.15.11.30.6.10 evil_spirit
0.1.1.0.0.0.15.11.30.6.10.5 goblin
-0.1.1.0.0.0.15.14 goal
-0.1.1.0.0.0.15.14.5 purpose
0.1.1.0.0.0.15.14.5.5 will
-0.1.1.0.0.0.15.16 experience
0.1.1.0.0.0.15.16.3 reminder
0.1.1.0.0.0.15.18 lore
-0.1.1.0.0.0.15.19 ignorance
-0.1.1.0.0.0.15.19.2 unenlightenment
0.1.1.0.0.0.15.19.2.0 dark
-0.1.1.0.0.0.15.20 knowledge_domain
-0.1.1.0.0.0.15.20.1 discipline
-0.1.1.0.0.0.15.20.1.11 humanistic_discipline
0.1.1.0.0.0.15.20.1.11.4 history
-0.1.1.0.0.0.16 information
-0.1.1.0.0.0.16.0 datum
-0.1.1.0.0.0.16.0.0 reading
-0.1.1.0.0.0.16.0.0.0 clock_time
-0.1.1.0.0.0.16.0.0.0.2 hour
0.1.1.0.0.0.16.0.0.0.2.0 none
-0.1.1.0.0.0.16.2 fact
0.1.1.0.0.0.16.2.8 truth
-0.1.1.0.0.0.16.7 evidence
-0.1.1.0.0.0.16.7.4 symptom
-0.1.1.0.0.0.16.7.4.27 pain
0.1.1.0.0.0.16.7.4.27.1 agony
0.1.1.0.0.0.16.7.4.44 scar
0.1.1.0.0.0.16.7.5 sign
-0.1.1.0.0.0.18 attitude
0.1.1.0.0.0.18.9 inclination
-0.1.1.0.0.1 motivation
0.1.1.0.0.1.3 urge
-0.1.1.0.0.2 event
-0.1.1.0.0.2.0 act
-0.1.1.0.0.2.0.0 action
-0.1.1.0.0.2.0.0.2 accomplishment
-0.1.1.0.0.2.0.0.2.2 deed
-0.1.1.0.0.2.0.0.2.2.0 acquiring
0.1.1.0.0.2.0.0.2.2.0.6 reception
0.1.1.0.0.2.0.0.2.2.2 delivery
-0.1.1.0.0.2.0.0.2.2.3 departure
0.1.1.0.0.2.0.0.2.2.3.3 disappearance
-0.1.1.0.0.2.0.0.2.2.8 implementation
0.1.1.0.0.2.0.0.2.2.8.3 means
0.1.1.0.0.2.0.0.2.2.8.3.11 voice
-0.1.1.0.0.2.0.0.2.2.13 propulsion
0.1.1.0.0.2.0.0.2.2.13.7 lift
-0.1.1.0.0.2.0.0.2.2.13.9 jump
0.1.1.0.0.2.0.0.2.2.13.9.3 vault
0.1.1.0.0.2.0.0.2.2.13.13 dribble
-0.1.1.0.0.2.0.0.2.2.16 running_away
-0.1.1.0.0.2.0.0.2.2.16.1 escape
0.1.1.0.0.2.0.0.2.2.16.1.1 break
-0.1.1.0.0.2.0.0.2.2.18 touch
-0.1.1.0.0.2.0.0.2.2.18.2 hit
0.1.1.0.0.2.0.0.2.2.18.2.3 fly
0.1.1.0.0.2.0.0.2.5 credit
0.1.1.0.0.2.0.0.2.10 arrival
-0.1.1.0.0.2.0.0.12 choice
-0.1.1.0.0.2.0.0.12.3 decision
-0.1.1.0.0.2.0.0.12.3.2 move
-0.1.1.0.0.2.0.0.12.3.2.1 maneuver
-0.1.1.0.0.2.0.0.12.3.2.1.1 device
0.1.1.0.0.2.0.0.12.3.2.1.1.1 trick
0.1.1.0.0.2.0.0.12.3.2.1.6 measure
-0.1.1.0.0.2.0.0.13 change
-0.1.1.0.0.2.0.0.13.12 change_of_state
-0.1.1.0.0.2.0.0.13.12.4 termination
-0.1.1.0.0.2.0.0.13.12.4.9 killing
-0.1.1.0.0.2.0.0.13.12.4.9.3 homicide
0.1.1.0.0.2.0.0.13.12.4.9.3.2 murder
-0.1.1.0.0.2.0.0.13.12.12 improvement
-0.1.1.0.0.2.0.0.13.12.12.16 repair
0.1.1.0.0.2.0.0.13.12.12.16.2 care
-0.1.1.0.0.2.0.0.13.13 alteration
0.1.1.0.0.2.0.0.13.13.0 tune
-0.1.1.0.0.2.0.0.13.14 motion
-0.1.1.0.0.2.0.0.13.14.2 locomotion
0.1.1.0.0.2.0.0.13.14.2.1 walk
-0.1.1.0.0.2.0.0.13.14.2.4 run
0.1.1.0.0.2.0.0.13.14.2.4.0 dash
-0.1.1.0.0.2.0.0.13.14.7 descent
0.1.1.0.0.2.0.0.13.14.7.4 drop
-0.1.1.0.0.2.0.0.13.14.18 maneuver
-0.1.1.0.0.2.0.0.13.14.18.10 stroke
-0.1.1.0.0.2.0.0.13.14.18.10.2 tennis_stroke
-0.1.1.0.0.2.0.0.13.14.18.10.2.1 serve
0.1.1.0.0.2.0.0.13.14.18.10.2.1.1 fault
0.1.1.0.0.2.0.0.13.14.18.10.2.1.2 let
-0.1.1.0.0.2.0.0.13.15 movement
-0.1.1.0.0.2.0.0.13.15.1 transportation
0.1.1.0.0.2.0.0.13.15.1.2 connection
-0.1.1.0.0.2.0.0.13.15.2 insertion
0.1.1.0.0.2.0.0.13.15.2.2 enclosure
